,Rating,Installs,Type,Price
5260,5.0,10,0,0.9
5268,5.0,10,0,0.0
5482,5.0,10,0,4.9
5489,5.0,10,0,29.9
5509,5.0,10,0,0.0
6232,5.0,10,0,0.0
6238,5.0,10,0,0.0
6342,5.0,10,0,0.0
6494,5.0,10,0,0.0
6816,5.0,10,0,0.0
7122,5.0,10,0,0.0
7139,5.0,10,0,0.0
7321,5.0,10,0,0.0
7377,5.0,10,0,0.9
7402,5.0,10,0,0.0
7444,5.0,10,0,0.0
7466,5.0,10,0,0.9
7477,5.0,10,0,19.9
7482,5.0,10,0,0.0
8018,5.0,10,0,1.4
8159,5.0,10,0,0.0
8287,5.0,10,0,3.0
8335,5.0,10,0,0.0
8391,5.0,10,0,0.0
8526,5.0,10,0,0.9
8591,5.0,10,0,0.0
8596,5.0,10,0,0.0
8869,5.0,10,0,0.0
9039,5.0,10,0,0.9
9178,5.0,10,0,0.0
9247,5.0,10,0,0.0
9265,5.0,10,0,0.0
9427,5.0,10,0,0.0
9455,5.0,10,0,0.0
9512,5.0,10,0,0.0
9659,5.0,10,0,0.0
9766,5.0,10,0,0.0
10297,5.0,10,0,0.0
10529,5.0,10,0,0.0
10776,5.0,10,0,0.0
478,0.0,50,0,1.4
621,0.0,50,0,0.0
623,0.0,50,0,0.0
641,0.0,50,0,0.0
648,0.0,50,0,0.0
653,0.0,50,0,0.0
2294,0.0,50,0,14.9
2423,0.0,50,0,0.9
2430,0.0,50,0,0.0
2439,0.0,50,0,0.0
2447,0.0,50,0,0.0
2470,0.0,50,0,0.0
2473,0.0,50,0,0.0
2498,0.0,50,0,0.0
4549,0.0,50,0,0.0
4697,0.0,50,0,9.9
4776,0.0,50,0,2.9
5056,0.0,50,0,0.0
5112,0.0,50,0,0.0
5113,0.0,50,0,0.0
5114,0.0,50,0,0.0
5134,0.0,50,0,0.0
5136,0.0,50,0,0.0
5140,0.0,50,0,0.0
5157,0.0,50,0,0.0
5159,0.0,50,0,0.0
5161,0.0,50,0,0.0
5170,0.0,50,0,0.0
5172,0.0,50,0,0.0
5176,0.0,50,0,0.0
5253,0.0,50,0,0.0
5259,0.0,50,0,0.0
5575,0.0,50,0,0.0
5730,0.0,50,0,0.0
5807,0.0,50,0,0.0
5817,0.0,50,0,0.0
5824,0.0,50,0,0.0
5976,0.0,50,0,0.0
5992,0.0,50,0,0.0
6117,0.0,50,0,0.0
6192,0.0,50,0,0.0
6208,0.0,50,0,0.0
6259,0.0,50,0,0.0
6365,0.0,50,0,0.0
6366,0.0,50,0,4.8
6428,0.0,50,0,1.9
6443,0.0,50,0,0.0
6488,0.0,50,0,0.0
6530,0.0,50,0,0.0
6544,0.0,50,0,0.0
6596,0.0,50,0,5.9
6639,0.0,50,0,0.0
6642,0.0,50,0,0.0
6653,0.0,50,0,0.0
6664,0.0,50,0,0.0
6668,0.0,50,0,0.0
6695,0.0,50,0,0.0
6703,0.0,50,0,0.0
6746,0.0,50,0,0.0
6753,0.0,50,0,1.4
6828,0.0,50,0,0.0
6832,0.0,50,0,0.0
6839,0.0,50,0,0.0
6865,0.0,50,0,0.0
6879,0.0,50,0,0.0
6880,0.0,50,0,0.0
6893,0.0,50,0,0.0
6941,0.0,50,0,0.0
7073,0.0,50,0,0.0
7120,0.0,50,0,0.0
7123,0.0,50,0,0.0
7185,0.0,50,0,0.0
7188,0.0,50,0,0.0
7189,0.0,50,0,0.0
7211,0.0,50,0,2.0
7224,0.0,50,0,0.0
7226,0.0,50,0,0.0
7227,0.0,50,0,0.0
7265,0.0,50,0,0.0
7271,0.0,50,0,0.0
7318,0.0,50,0,0.0
7322,0.0,50,0,0.0
7339,0.0,50,0,3.9
7386,0.0,50,0,0.0
7389,0.0,50,0,0.0
7448,0.0,50,0,0.0
7472,0.0,50,0,0.0
7757,0.0,50,0,0.0
7843,0.0,50,0,0.0
7888,0.0,50,0,0.0
7897,0.0,50,0,0.9
7901,0.0,50,0,0.0
8009,0.0,50,0,0.0
8067,0.0,50,0,0.0
8068,0.0,50,0,0.0
8072,0.0,50,0,0.0
8076,0.0,50,0,0.0
8080,0.0,50,0,0.0
8278,0.0,50,0,0.0
8282,0.0,50,0,4.9
8344,0.0,50,0,0.0
8425,0.0,50,0,0.0
8504,0.0,50,0,0.0
8577,0.0,50,0,0.0
8588,0.0,50,0,0.0
8598,0.0,50,0,0.0
8825,0.0,50,0,2.6
8828,0.0,50,0,0.0
8941,0.0,50,0,0.0
8965,0.0,50,0,0.0
9054,0.0,50,0,2.9
9075,0.0,50,0,0.0
9083,0.0,50,0,0.0
9180,0.0,50,0,0.0
9235,0.0,50,0,0.0
9240,0.0,50,0,0.0
9249,0.0,50,0,0.0
9319,0.0,50,0,0.0
9330,0.0,50,0,0.0
9370,0.0,50,0,0.0
9409,0.0,50,0,9.9
9421,0.0,50,0,0.0
9458,0.0,50,0,0.0
9654,0.0,50,0,0.0
9663,0.0,50,0,0.0
